45,19,72,28,70
71,34,21,32,34
10,65,72,93,59
69,74,85,93,63
93,24,53,8,54
0.8817634770121157,0.7025028423869919,0.22633043102043815,0.6813604305515149,0.8854917820723109
0.11963101635713969,0.9064766905021879,0.5925425075896136,0.19211722078588767,0.0685578989460025
0.8329417285758483,0.02321290489728689,0.5521147872387364,0.6886446915563347,0.9680746382398184
0.9877565014063265,0.3088660147479654,0.3071215108559908,0.8244335518446837,0.2208573761663446
0.1357779363120586,0.5392648086813583,0.04276096872417501,0.14748582044588243,0.17225534646768725
